JUDUL,KATEGORI,tokens,stopwords,stemmed
penyalahgunaan ai bikin kota ini didenda rp  juta,Teknologi,"['penyalahgunaan', 'ai', 'bikin', 'kota', 'ini', 'didenda', 'rp', 'juta']","['penyalahgunaan', 'ai', 'bikin', 'kota', 'didenda', 'rp', 'juta']",penyalahgunaan ai bikin kota denda rp juta
perusahaan ini diganjar penghargaan gegara terapkan ai,Teknologi,"['perusahaan', 'ini', 'diganjar', 'penghargaan', 'gegara', 'terapkan', 'ai']","['perusahaan', 'diganjar', 'penghargaan', 'gegara', 'terapkan', 'ai']",usaha ganjar harga gegara terap ai
youtube buat pintasan ke akses kesehatan darurat,Teknologi,"['youtube', 'buat', 'pintasan', 'ke', 'akses', 'kesehatan', 'darurat']","['youtube', 'pintasan', 'akses', 'kesehatan', 'darurat']",youtube pintas akses sehat darurat
partisipasi perempuan ri bekerja di bidang stem salah satu terendah di asean,Teknologi,"['partisipasi', 'perempuan', 'ri', 'bekerja', 'di', 'bidang', 'stem', 'salah', 'satu', 'terendah', 'di', 'asean']","['partisipasi', 'perempuan', 'ri', 'bidang', 'stem', 'salah', 'terendah', 'asean']",partisipasi perempuan ri bidang stem salah rendah asean
potret keseruan mabar di mal jakarta,Teknologi,"['potret', 'keseruan', 'mabar', 'di', 'mal', 'jakarta']","['potret', 'keseruan', 'mabar', 'mal', 'jakarta']",potret seru mabar mal jakarta
yang baru dari menteri basuki,Teknologi,"['yang', 'baru', 'dari', 'menteri', 'basuki']","['menteri', 'basuki']",menteri basuki
jadi pacar virtual model al seksi raup pendapatan rp  juta per bulan,Teknologi,"['jadi', 'pacar', 'virtual', 'model', 'al', 'seksi', 'raup', 'pendapatan', 'rp', 'juta', 'per', 'bulan']","['pacar', 'virtual', 'model', 'al', 'seksi', 'raup', 'pendapatan', 'rp', 'juta']",pacar virtual model al seksi raup dapat rp juta
makin canggih pemasaran properti kini bisa pakai teknologi ini,Teknologi,"['makin', 'canggih', 'pemasaran', 'properti', 'kini', 'bisa', 'pakai', 'teknologi', 'ini']","['canggih', 'pemasaran', 'properti', 'pakai', 'teknologi']",canggih pasar properti pakai teknologi
digital native adalah pengertian ciriciri dan bedanya dengan digital immigrant,Teknologi,"['digital', 'native', 'adalah', 'pengertian', 'ciriciri', 'dan', 'bedanya', 'dengan', 'digital', 'immigrant']","['digital', 'native', 'pengertian', 'ciriciri', 'bedanya', 'digital', 'immigrant']",digital native erti ciriciri beda digital immigrant
teknologi baru buat yang ldr hadirkan orang terkasih lewat hologram d,Teknologi,"['teknologi', 'baru', 'buat', 'yang', 'ldr', 'hadirkan', 'orang', 'terkasih', 'lewat', 'hologram', 'd']","['teknologi', 'ldr', 'hadirkan', 'orang', 'terkasih', 'hologram', 'd']",teknologi ldr hadir orang kasih hologram d
dirut lintasarta bicara pentingnya literasi teknologi di indonesia,Teknologi,"['dirut', 'lintasarta', 'bicara', 'pentingnya', 'literasi', 'teknologi', 'di', 'indonesia']","['dirut', 'lintasarta', 'bicara', 'literasi', 'teknologi', 'indonesia']",dirut lintasarta bicara literasi teknologi indonesia
 pekerjaan yang terancam punah pada masa depan ini penyebabnya,Teknologi,"['pekerjaan', 'yang', 'terancam', 'punah', 'pada', 'masa', 'depan', 'ini', 'penyebabnya']","['pekerjaan', 'terancam', 'punah', 'penyebabnya']",kerja ancam punah sebab
transformasi teknologi dukung konsep smart living di indonesia,Teknologi,"['transformasi', 'teknologi', 'dukung', 'konsep', 'smart', 'living', 'di', 'indonesia']","['transformasi', 'teknologi', 'dukung', 'konsep', 'smart', 'living', 'indonesia']",transformasi teknologi dukung konsep smart living indonesia
layanan publik mau didigitalkan erick thohir bicara kisah sukses indiachina,Teknologi,"['layanan', 'publik', 'mau', 'didigitalkan', 'erick', 'thohir', 'bicara', 'kisah', 'sukses', 'indiachina']","['layanan', 'publik', 'didigitalkan', 'erick', 'thohir', 'bicara', 'kisah', 'sukses', 'indiachina']",layan publik digital erick thohir bicara kisah sukses indiachina
ketika ganjar banggakan niki hingga rich brian di debat pilpres,Teknologi,"['ketika', 'ganjar', 'banggakan', 'niki', 'hingga', 'rich', 'brian', 'di', 'debat', 'pilpres']","['ganjar', 'banggakan', 'niki', 'rich', 'brian', 'debat', 'pilpres']",ganjar bangga nik rich brian debat pilpres
promosi ri di dunia ganjar mau pakai viralisme dan teknologi digital,Teknologi,"['promosi', 'ri', 'di', 'dunia', 'ganjar', 'mau', 'pakai', 'viralisme', 'dan', 'teknologi', 'digital']","['promosi', 'ri', 'dunia', 'ganjar', 'pakai', 'viralisme', 'teknologi', 'digital']",promosi ri dunia ganjar pakai viralisme teknologi digital
jurus anies perkuat pertahanan ri dengan teknologi tinggi,Teknologi,"['jurus', 'anies', 'perkuat', 'pertahanan', 'ri', 'dengan', 'teknologi', 'tinggi']","['jurus', 'anies', 'perkuat', 'pertahanan', 'ri', 'teknologi']",jurus anies kuat tahan ri teknologi
sejarah komputer berawal dari mesin hitung hingga teknologi berbasis jaringan,Teknologi,"['sejarah', 'komputer', 'berawal', 'dari', 'mesin', 'hitung', 'hingga', 'teknologi', 'berbasis', 'jaringan']","['sejarah', 'komputer', 'mesin', 'hitung', 'teknologi', 'berbasis', 'jaringan']",sejarah komputer mesin hitung teknologi bas jaring
ilmuwan coba bicara dengan paus begini hasilnya,Teknologi,"['ilmuwan', 'coba', 'bicara', 'dengan', 'paus', 'begini', 'hasilnya']","['ilmuwan', 'coba', 'bicara', 'paus', 'hasilnya']",ilmuwan coba bicara paus hasil
pengamat nilai capres pakai sosmed untuk kampanye agar dianggap paham teknologi,Teknologi,"['pengamat', 'nilai', 'capres', 'pakai', 'sosmed', 'untuk', 'kampanye', 'agar', 'dianggap', 'paham', 'teknologi']","['pengamat', 'nilai', 'capres', 'pakai', 'sosmed', 'kampanye', 'dianggap', 'paham', 'teknologi']",amat nilai capres pakai sosmed kampanye anggap paham teknologi
tarif efektif pajak karyawan berlaku  mekari gercep rilis solusi teknologinya,Teknologi,"['tarif', 'efektif', 'pajak', 'karyawan', 'berlaku', 'mekari', 'gercep', 'rilis', 'solusi', 'teknologinya']","['tarif', 'efektif', 'pajak', 'karyawan', 'berlaku', 'mekari', 'gercep', 'rilis', 'solusi', 'teknologinya']",tarif efektif pajak karyawan laku mekar gercep rilis solusi teknologi
 produk teknologi yang mati di tahun ,Teknologi,"['produk', 'teknologi', 'yang', 'mati', 'di', 'tahun']","['produk', 'teknologi', 'mati']",produk teknologi mati
ubah pikiran jadi teks begini teknologi ai dewave,Teknologi,"['ubah', 'pikiran', 'jadi', 'teks', 'begini', 'teknologi', 'ai', 'dewave']","['ubah', 'pikiran', 'teks', 'teknologi', 'ai', 'dewave']",ubah pikir teks teknologi ai dewave
ilmuwan kembangkan perangkat dari sel otak manusia bisa menghitungmengenali suara,Teknologi,"['ilmuwan', 'kembangkan', 'perangkat', 'dari', 'sel', 'otak', 'manusia', 'bisa', 'menghitungmengenali', 'suara']","['ilmuwan', 'kembangkan', 'perangkat', 'sel', 'otak', 'manusia', 'menghitungmengenali', 'suara']",ilmuwan kembang perangkat sel otak manusia menghitungmengenali suara
tiktok haram di pakistan,Teknologi,"['tiktok', 'haram', 'di', 'pakistan']","['tiktok', 'haram', 'pakistan']",tiktok haram pakistan
macammacam perkembangan teknologi dalam kehidupan seharihari,Teknologi,"['macammacam', 'perkembangan', 'teknologi', 'dalam', 'kehidupan', 'seharihari']","['macammacam', 'perkembangan', 'teknologi', 'kehidupan', 'seharihari']",macammacam kembang teknologi hidup seharihari
moeldoko sebut indonesia siap cetak  talenta digital tiap tahunnya,Teknologi,"['moeldoko', 'sebut', 'indonesia', 'siap', 'cetak', 'talenta', 'digital', 'tiap', 'tahunnya']","['moeldoko', 'indonesia', 'cetak', 'talenta', 'digital', 'tahunnya']",moeldoko indonesia cetak talenta digital tahun
 kampus punya prodi bidang digital dirjen dikti ajak mahasiswa jadi inovator,Teknologi,"['kampus', 'punya', 'prodi', 'bidang', 'digital', 'dirjen', 'dikti', 'ajak', 'mahasiswa', 'jadi', 'inovator']","['kampus', 'prodi', 'bidang', 'digital', 'dirjen', 'dikti', 'ajak', 'mahasiswa', 'inovator']",kampus prodi bidang digital dirjen dikti ajak mahasiswa inovator
ini ifara teknologi futuristik ciptaan pens yang bikin hemat bbm hingga ,Teknologi,"['ini', 'ifara', 'teknologi', 'futuristik', 'ciptaan', 'pens', 'yang', 'bikin', 'hemat', 'bbm', 'hingga']","['ifara', 'teknologi', 'futuristik', 'ciptaan', 'pens', 'bikin', 'hemat', 'bbm']",ifara teknologi futuristik cipta pens bikin hemat bbm
its rancang kapal autonomous bisa petakan kondisi laut di indonesia,Teknologi,"['its', 'rancang', 'kapal', 'autonomous', 'bisa', 'petakan', 'kondisi', 'laut', 'di', 'indonesia']","['its', 'rancang', 'kapal', 'autonomous', 'petakan', 'kondisi', 'laut', 'indonesia']",its rancang kapal autonomous peta kondisi laut indonesia
guru besar ub ai hanya sarana pendukung bukan referensi utama mahasiswa,Teknologi,"['guru', 'besar', 'ub', 'ai', 'hanya', 'sarana', 'pendukung', 'bukan', 'referensi', 'utama', 'mahasiswa']","['guru', 'ub', 'ai', 'sarana', 'pendukung', 'referensi', 'utama', 'mahasiswa']",guru ub ai sarana dukung referensi utama mahasiswa
peringati hakordia jokowi ajak gunakan teknologi untuk cegah korupsi,Teknologi,"['peringati', 'hakordia', 'jokowi', 'ajak', 'gunakan', 'teknologi', 'untuk', 'cegah', 'korupsi']","['peringati', 'hakordia', 'jokowi', 'ajak', 'teknologi', 'cegah', 'korupsi']",ingat hakordia jokowi ajak teknologi cegah korupsi
gen z rawan mengalami depresi tapi punya keunggulan ini,Teknologi,"['gen', 'z', 'rawan', 'mengalami', 'depresi', 'tapi', 'punya', 'keunggulan', 'ini']","['gen', 'z', 'rawan', 'mengalami', 'depresi', 'keunggulan']",gen z rawan alami depresi unggul
kenapa pesawat terlihat bergerak sangat lambat,Teknologi,"['kenapa', 'pesawat', 'terlihat', 'bergerak', 'sangat', 'lambat']","['pesawat', 'bergerak', 'lambat']",pesawat gerak lambat
cat putih dan  inovasi teknologi ini dapat menyelamatkan bumi kok bisa,Teknologi,"['cat', 'putih', 'dan', 'inovasi', 'teknologi', 'ini', 'dapat', 'menyelamatkan', 'bumi', 'kok', 'bisa']","['cat', 'putih', 'inovasi', 'teknologi', 'menyelamatkan', 'bumi']",cat putih inovasi teknologi selamat bumi
china bangun data center bawah laut kekuatannya setara  juta komputer,Teknologi,"['china', 'bangun', 'data', 'center', 'bawah', 'laut', 'kekuatannya', 'setara', 'juta', 'komputer']","['china', 'bangun', 'data', 'center', 'laut', 'kekuatannya', 'setara', 'juta', 'komputer']",china bangun data center laut kuat tara juta komputer
keren robot tangan ini mirip seperti organ manusia punya tulang hingga ligamen,Teknologi,"['keren', 'robot', 'tangan', 'ini', 'mirip', 'seperti', 'organ', 'manusia', 'punya', 'tulang', 'hingga', 'ligamen']","['keren', 'robot', 'tangan', 'organ', 'manusia', 'tulang', 'ligamen']",keren robot tangan organ manusia tulang ligamen
pakai emoji tangan metal di negaranegara ini artinya bisa beda,Teknologi,"['pakai', 'emoji', 'tangan', 'metal', 'di', 'negaranegara', 'ini', 'artinya', 'bisa', 'beda']","['pakai', 'emoji', 'tangan', 'metal', 'negaranegara', 'beda']",pakai emoji tangan metal negaranegara beda
 contoh energi terbarukan beserta penjelasan lengkapnya,Teknologi,"['contoh', 'energi', 'terbarukan', 'beserta', 'penjelasan', 'lengkapnya']","['contoh', 'energi', 'terbarukan', 'beserta', 'penjelasan', 'lengkapnya']",contoh energi baru serta jelas lengkap
seberapa siap ri memasuki era smart city teknologi jadi kunci,Teknologi,"['seberapa', 'siap', 'ri', 'memasuki', 'era', 'smart', 'city', 'teknologi', 'jadi', 'kunci']","['ri', 'memasuki', 'era', 'smart', 'city', 'teknologi', 'kunci']",ri pasuk era smart city teknologi kunci
canggih stasiun di jepang pakai staf ai hingga warung tanpa karyawan,Teknologi,"['canggih', 'stasiun', 'di', 'jepang', 'pakai', 'staf', 'ai', 'hingga', 'warung', 'tanpa', 'karyawan']","['canggih', 'stasiun', 'jepang', 'pakai', 'staf', 'ai', 'warung', 'karyawan']",canggih stasiun jepang pakai staf ai warung karyawan
xapiens aiot solution tech day hadirkan teknologi cerdas,Teknologi,"['xapiens', 'aiot', 'solution', 'tech', 'day', 'hadirkan', 'teknologi', 'cerdas']","['xapiens', 'aiot', 'solution', 'tech', 'day', 'hadirkan', 'teknologi', 'cerdas']",xapiens aiot solution tech day hadir teknologi cerdas
microsoft rilis chip ai saingan nvidia,Teknologi,"['microsoft', 'rilis', 'chip', 'ai', 'saingan', 'nvidia']","['microsoft', 'rilis', 'chip', 'ai', 'saingan', 'nvidia']",microsoft rilis chip ai saing nvidia
gunakan teknologi modern  situs kuno yang misterius berhasil terungkap,Teknologi,"['gunakan', 'teknologi', 'modern', 'situs', 'kuno', 'yang', 'misterius', 'berhasil', 'terungkap']","['teknologi', 'modern', 'situs', 'kuno', 'misterius', 'berhasil', 'terungkap']",teknologi modern situs kuno misterius hasil ungkap
membentang dari barat ke timur ri ini teknologi yang dipakai palapa ring,Teknologi,"['membentang', 'dari', 'barat', 'ke', 'timur', 'ri', 'ini', 'teknologi', 'yang', 'dipakai', 'palapa', 'ring']","['membentang', 'barat', 'timur', 'ri', 'teknologi', 'dipakai', 'palapa', 'ring']",bentang barat timur ri teknologi pakai palapa ring
apa itu brainware ketahui pengertian fungsi dan jenisnya,Teknologi,"['apa', 'itu', 'brainware', 'ketahui', 'pengertian', 'fungsi', 'dan', 'jenisnya']","['brainware', 'ketahui', 'pengertian', 'fungsi', 'jenisnya']",brainware tahu erti fungsi jenis
plt sekjen mpr ajak generasi muda lawan dampak buruk penggunaan teknologi,Teknologi,"['plt', 'sekjen', 'mpr', 'ajak', 'generasi', 'muda', 'lawan', 'dampak', 'buruk', 'penggunaan', 'teknologi']","['plt', 'sekjen', 'mpr', 'ajak', 'generasi', 'muda', 'lawan', 'dampak', 'buruk', 'penggunaan', 'teknologi']",plt sekjen mpr ajak generasi muda lawan dampak buruk guna teknologi
disrupsi adalah ketahui faktor penyebab contoh dan cara menghadapinya,Teknologi,"['disrupsi', 'adalah', 'ketahui', 'faktor', 'penyebab', 'contoh', 'dan', 'cara', 'menghadapinya']","['disrupsi', 'ketahui', 'faktor', 'penyebab', 'contoh', 'menghadapinya']",disrupsi tahu faktor sebab contoh hadap
nggak perlu datang subuh antrean rawat jalan di rs bisa lewat jkn mobile,Teknologi,"['nggak', 'perlu', 'datang', 'subuh', 'antrean', 'rawat', 'jalan', 'di', 'rs', 'bisa', 'lewat', 'jkn', 'mobile']","['nggak', 'subuh', 'antrean', 'rawat', 'jalan', 'rs', 'jkn', 'mobile']",nggak subuh antre rawat jalan rs jkn mobile
unik kain ini bisa beradaptasi dengan cuaca efisien jadi pakaian di musim pancaroba,Teknologi,"['unik', 'kain', 'ini', 'bisa', 'beradaptasi', 'dengan', 'cuaca', 'efisien', 'jadi', 'pakaian', 'di', 'musim', 'pancaroba']","['unik', 'kain', 'beradaptasi', 'cuaca', 'efisien', 'pakaian', 'musim', 'pancaroba']",unik kain adaptasi cuaca efisien pakai musim pancaroba
fitur google search untuk pecahkan rumitnya soal matematikafisika,Teknologi,"['fitur', 'google', 'search', 'untuk', 'pecahkan', 'rumitnya', 'soal', 'matematikafisika']","['fitur', 'google', 'search', 'pecahkan', 'rumitnya', 'matematikafisika']",fitur google search pecah rumit matematikafisika
mangkuk canggih dari jepang,Teknologi,"['mangkuk', 'canggih', 'dari', 'jepang']","['mangkuk', 'canggih', 'jepang']",mangkuk canggih jepang
guru besar ftui teknologi g bisa dongkrak pdb indonesia,Teknologi,"['guru', 'besar', 'ftui', 'teknologi', 'g', 'bisa', 'dongkrak', 'pdb', 'indonesia']","['guru', 'ftui', 'teknologi', 'g', 'dongkrak', 'pdb', 'indonesia']",guru ftui teknologi g dongkrak pdb indonesia
peserta panggilan grup whatsapp bisa lebih banyak,Teknologi,"['peserta', 'panggilan', 'grup', 'whatsapp', 'bisa', 'lebih', 'banyak']","['peserta', 'panggilan', 'grup', 'whatsapp']",serta panggil grup whatsapp
buka santri innofest  waketum pbnu inovasi santri harus terus berkembang,Teknologi,"['buka', 'santri', 'innofest', 'waketum', 'pbnu', 'inovasi', 'santri', 'harus', 'terus', 'berkembang']","['buka', 'santri', 'innofest', 'waketum', 'pbnu', 'inovasi', 'santri', 'berkembang']",buka santri innofest waketum pbnu inovasi santri kembang
hadiri ultah nwdi ke menag dorong madrasah untuk bertransformasi digital,Teknologi,"['hadiri', 'ultah', 'nwdi', 'ke', 'menag', 'dorong', 'madrasah', 'untuk', 'bertransformasi', 'digital']","['hadiri', 'ultah', 'nwdi', 'menag', 'dorong', 'madrasah', 'bertransformasi', 'digital']",hadir ultah nwdi menag dorong madrasah transformasi digital
keren alat penyerap gas karbon berhasil dibuat mahasiswa ugm  bisa dipantau real time,Teknologi,"['keren', 'alat', 'penyerap', 'gas', 'karbon', 'berhasil', 'dibuat', 'mahasiswa', 'ugm', 'bisa', 'dipantau', 'real', 'time']","['keren', 'alat', 'penyerap', 'gas', 'karbon', 'berhasil', 'mahasiswa', 'ugm', 'dipantau', 'real', 'time']",keren alat serap gas karbon hasil mahasiswa ugm pantau real time
bukan kompetitor bos telkom bukabukaan ancaman paling berbahaya,Teknologi,"['bukan', 'kompetitor', 'bos', 'telkom', 'bukabukaan', 'ancaman', 'paling', 'berbahaya']","['kompetitor', 'bos', 'telkom', 'bukabukaan', 'ancaman', 'berbahaya']",kompetitor bos telkom bukabukaan ancam bahaya
inovatif mahasiswa uns ciptakan sarung tangan penerjemah bahasa isyarat,Teknologi,"['inovatif', 'mahasiswa', 'uns', 'ciptakan', 'sarung', 'tangan', 'penerjemah', 'bahasa', 'isyarat']","['inovatif', 'mahasiswa', 'uns', 'ciptakan', 'sarung', 'tangan', 'penerjemah', 'bahasa', 'isyarat']",inovatif mahasiswa uns cipta sarung tangan terjemah bahasa isyarat
hotel di prancis vs kutu busuk teknologi tingkat tinggi dipasang,Teknologi,"['hotel', 'di', 'prancis', 'vs', 'kutu', 'busuk', 'teknologi', 'tingkat', 'tinggi', 'dipasang']","['hotel', 'prancis', 'vs', 'kutu', 'busuk', 'teknologi', 'tingkat', 'dipasang']",hotel prancis vs kutu busuk teknologi tingkat pasang
mahasiswa ugm ciptakan lidah pendeteksi mineral begini bentuknya,Teknologi,"['mahasiswa', 'ugm', 'ciptakan', 'lidah', 'pendeteksi', 'mineral', 'begini', 'bentuknya']","['mahasiswa', 'ugm', 'ciptakan', 'lidah', 'pendeteksi', 'mineral', 'bentuknya']",mahasiswa ugm cipta lidah deteksi mineral bentuk
sekolah di inggris ini dipimpin robot ai,Teknologi,"['sekolah', 'di', 'inggris', 'ini', 'dipimpin', 'robot', 'ai']","['sekolah', 'inggris', 'dipimpin', 'robot', 'ai']",sekolah inggris pimpin robot ai
waka dprd jateng dukung penerapan teknologi tepat guna,Teknologi,"['waka', 'dprd', 'jateng', 'dukung', 'penerapan', 'teknologi', 'tepat', 'guna']","['waka', 'dprd', 'jateng', 'dukung', 'penerapan', 'teknologi']",waka dprd jateng dukung terap teknologi
chat lock whatsapp bisa dibuka pakai kode rahasia,Teknologi,"['chat', 'lock', 'whatsapp', 'bisa', 'dibuka', 'pakai', 'kode', 'rahasia']","['chat', 'lock', 'whatsapp', 'dibuka', 'pakai', 'kode', 'rahasia']",chat lock whatsapp buka pakai kode rahasia
teknik bioproses hal yang dipelajari kampus prospek karier dan besar gaji,Teknologi,"['teknik', 'bioproses', 'hal', 'yang', 'dipelajari', 'kampus', 'prospek', 'karier', 'dan', 'besar', 'gaji']","['teknik', 'bioproses', 'dipelajari', 'kampus', 'prospek', 'karier', 'gaji']",teknik bioproses ajar kampus prospek karier gaji
inovasi ai ciptakan desain robot berjalan yang unik seperti ini bentuknya,Teknologi,"['inovasi', 'ai', 'ciptakan', 'desain', 'robot', 'berjalan', 'yang', 'unik', 'seperti', 'ini', 'bentuknya']","['inovasi', 'ai', 'ciptakan', 'desain', 'robot', 'berjalan', 'unik', 'bentuknya']",inovasi ai cipta desain robot jalan unik bentuk
apa itu chatgpt ini pengertian dan cara pakainya,Teknologi,"['apa', 'itu', 'chatgpt', 'ini', 'pengertian', 'dan', 'cara', 'pakainya']","['chatgpt', 'pengertian', 'pakainya']",chatgpt erti pakai
sejarah komputer dari generasi ke generasi siapa penemunya,Teknologi,"['sejarah', 'komputer', 'dari', 'generasi', 'ke', 'generasi', 'siapa', 'penemunya']","['sejarah', 'komputer', 'generasi', 'generasi', 'penemunya']",sejarah komputer generasi generasi temu
menilik  fitur anyar di whatsapp berbasis ai,Teknologi,"['menilik', 'fitur', 'anyar', 'di', 'whatsapp', 'berbasis', 'ai']","['menilik', 'fitur', 'anyar', 'whatsapp', 'berbasis', 'ai']",tilik fitur anyar whatsapp bas ai
perangkat lunak pengertian karakter fungsi dan contohnya,Teknologi,"['perangkat', 'lunak', 'pengertian', 'karakter', 'fungsi', 'dan', 'contohnya']","['perangkat', 'lunak', 'pengertian', 'karakter', 'fungsi', 'contohnya']",perangkat lunak erti karakter fungsi contoh
subholding bumn jasa survei ajak milenial berinovasi teknologi,Teknologi,"['subholding', 'bumn', 'jasa', 'survei', 'ajak', 'milenial', 'berinovasi', 'teknologi']","['subholding', 'bumn', 'jasa', 'survei', 'ajak', 'milenial', 'berinovasi', 'teknologi']",subholding bumn jasa survei ajak milenial inovasi teknologi
cara mudah bikin wa terlihat offline ketika online,Teknologi,"['cara', 'mudah', 'bikin', 'wa', 'terlihat', 'offline', 'ketika', 'online']","['mudah', 'bikin', 'wa', 'offline', 'online']",mudah bikin wa offline online
siswa binus ciptakan mesin tempe portable waktu pembuatan hanya  jam,Teknologi,"['siswa', 'binus', 'ciptakan', 'mesin', 'tempe', 'portable', 'waktu', 'pembuatan', 'hanya', 'jam']","['siswa', 'binus', 'ciptakan', 'mesin', 'tempe', 'portable', 'pembuatan', 'jam']",siswa bus cipta mesin tempe portable buat jam
 karakteristik globalisasi beserta pengertian dan contohnya,Teknologi,"['karakteristik', 'globalisasi', 'beserta', 'pengertian', 'dan', 'contohnya']","['karakteristik', 'globalisasi', 'beserta', 'pengertian', 'contohnya']",karakteristik globalisasi serta erti contoh
smart tv ini cocok buat kebutuhan entertainment hingga gaming,Teknologi,"['smart', 'tv', 'ini', 'cocok', 'buat', 'kebutuhan', 'entertainment', 'hingga', 'gaming']","['smart', 'tv', 'cocok', 'kebutuhan', 'entertainment', 'gaming']",smart tv cocok butuh entertainment gaming
kemenag akan kembangkan layanan alquran berteknologi ai,Teknologi,"['kemenag', 'akan', 'kembangkan', 'layanan', 'alquran', 'berteknologi', 'ai']","['kemenag', 'kembangkan', 'layanan', 'alquran', 'berteknologi', 'ai']",kemenag kembang layan alquran teknologi ai
pbnu diminta bikin ai untuk membantu umat islam,Teknologi,"['pbnu', 'diminta', 'bikin', 'ai', 'untuk', 'membantu', 'umat', 'islam']","['pbnu', 'bikin', 'ai', 'membantu', 'umat', 'islam']",pbnu bikin ai bantu umat islam
intip inari expo  pameran inovasi karya anak bangsa,Teknologi,"['intip', 'inari', 'expo', 'pameran', 'inovasi', 'karya', 'anak', 'bangsa']","['intip', 'inari', 'expo', 'pameran', 'inovasi', 'karya', 'anak', 'bangsa']",intip inari expo pamer inovasi karya anak bangsa
apakah ai bisa bantu gen z menghadapi masalah di dunia kerja,Teknologi,"['apakah', 'ai', 'bisa', 'bantu', 'gen', 'z', 'menghadapi', 'masalah', 'di', 'dunia', 'kerja']","['ai', 'bantu', 'gen', 'z', 'menghadapi', 'dunia', 'kerja']",ai bantu gen z hadap dunia kerja
binus university buka jurusan artificial intelligence belajar apa saja,Teknologi,"['binus', 'university', 'buka', 'jurusan', 'artificial', 'intelligence', 'belajar', 'apa', 'saja']","['binus', 'university', 'buka', 'jurusan', 'artificial', 'intelligence', 'belajar']",bus university buka jurus artificial intelligence ajar
kominfo indonesia masih kekurangan  juta talenta it di tahun ,Teknologi,"['kominfo', 'indonesia', 'masih', 'kekurangan', 'juta', 'talenta', 'it', 'di', 'tahun']","['kominfo', 'indonesia', 'kekurangan', 'juta', 'talenta', 'it']",kominfo indonesia kurang juta talenta it
pengertian konvergensi konsep dan dampaknya dalam ruang lingkup media,Teknologi,"['pengertian', 'konvergensi', 'konsep', 'dan', 'dampaknya', 'dalam', 'ruang', 'lingkup', 'media']","['pengertian', 'konvergensi', 'konsep', 'dampaknya', 'ruang', 'lingkup', 'media']",erti konvergensi konsep dampak ruang lingkup media
deretan teknologi mutakhir di pameran pertambangan,Teknologi,"['deretan', 'teknologi', 'mutakhir', 'di', 'pameran', 'pertambangan']","['deretan', 'teknologi', 'mutakhir', 'pameran', 'pertambangan']",deret teknologi mutakhir pamer tambang
petani tak perlu ribet kini ada alat pemantau kesuburan tanaman,Teknologi,"['petani', 'tak', 'perlu', 'ribet', 'kini', 'ada', 'alat', 'pemantau', 'kesuburan', 'tanaman']","['petani', 'ribet', 'alat', 'pemantau', 'kesuburan', 'tanaman']",tani ribet alat pantau subur tanam
ilmuwan ungkap bahaya ai di masa depan ada banyak ancaman,Teknologi,"['ilmuwan', 'ungkap', 'bahaya', 'ai', 'di', 'masa', 'depan', 'ada', 'banyak', 'ancaman']","['ilmuwan', 'bahaya', 'ai', 'ancaman']",ilmuwan bahaya ai ancam
hukum penyembelihan hewan secara mekanik halal atau tidak,Teknologi,"['hukum', 'penyembelihan', 'hewan', 'secara', 'mekanik', 'halal', 'atau', 'tidak']","['hukum', 'penyembelihan', 'hewan', 'mekanik', 'halal']",hukum sembelih hewan mekanik halal
begini rupa wajah pria yang hidup  tahun lalu mirip manusia modern enggak ya,Teknologi,"['begini', 'rupa', 'wajah', 'pria', 'yang', 'hidup', 'tahun', 'lalu', 'mirip', 'manusia', 'modern', 'enggak', 'ya']","['rupa', 'wajah', 'pria', 'hidup', 'manusia', 'modern', 'ya']",rupa wajah pria hidup manusia modern ya
belajar dari singapura indonesia butuh kawasan sains,Teknologi,"['belajar', 'dari', 'singapura', 'indonesia', 'butuh', 'kawasan', 'sains']","['belajar', 'singapura', 'indonesia', 'butuh', 'kawasan', 'sains']",ajar singapura indonesia butuh kawasan sains
 teknologi untuk masa depan,Teknologi,"['teknologi', 'untuk', 'masa', 'depan']",['teknologi'],teknologi
top itb jadi kampus dengan riset paling banyak digunakan industri versi the wur ,Teknologi,"['top', 'itb', 'jadi', 'kampus', 'dengan', 'riset', 'paling', 'banyak', 'digunakan', 'industri', 'versi', 'the', 'wur']","['top', 'itb', 'kampus', 'riset', 'industri', 'versi', 'the', 'wur']",top itb kampus riset industri versi the wur
masa depan telematika dan iot di indonesia,Teknologi,"['masa', 'depan', 'telematika', 'dan', 'iot', 'di', 'indonesia']","['telematika', 'iot', 'indonesia']",telematika iot indonesia
teknologi modern untuk penyintas fistula ani,Teknologi,"['teknologi', 'modern', 'untuk', 'penyintas', 'fistula', 'ani']","['teknologi', 'modern', 'penyintas', 'fistula', 'ani']",teknologi modern sintas fistula ani
satelit buatan pengertian dan contohnya,Teknologi,"['satelit', 'buatan', 'pengertian', 'dan', 'contohnya']","['satelit', 'buatan', 'pengertian', 'contohnya']",satelit buat erti contoh
 tips jadi developer andal menurut dosen vokasi yuk simak,Teknologi,"['tips', 'jadi', 'developer', 'andal', 'menurut', 'dosen', 'vokasi', 'yuk', 'simak']","['tips', 'developer', 'andal', 'dosen', 'vokasi', 'yuk', 'simak']",tips developer andal dosen vokasi yuk simak
